expiry,option_type,strike,bid,ask,last,mid,volume,open_interest,spot,snapshot_utc,T,moneyness,iv
2026-06-11,put,746.0,1.25,1.27,1.33,1.26,327.0,288.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9845195771962282,0.12583754539409475
2026-06-11,put,747.0,1.39,1.4,1.39,1.395,563.0,358.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9858393085329523,0.12394684303743658
2026-06-11,put,748.0,1.54,1.55,1.69,1.545,267.0,316.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9871590398696766,0.12206354409038961
2026-06-11,put,749.0,1.7,1.72,1.78,1.71,350.0,297.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9884787712064007,0.12013900774218271
2026-06-11,put,750.0,1.89,1.91,1.89,1.9,731.0,787.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9897985025431248,0.11842767503427955
2026-06-11,put,751.0,2.11,2.12,2.17,2.115,471.0,214.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.991118233879849,0.11685089672604529
2026-06-11,put,752.0,2.32,2.34,2.35,2.33,492.0,390.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9924379652165732,0.11466150786893518
2026-06-11,put,753.0,2.59,2.61,2.7,2.6,639.0,818.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9937576965532974,0.11332099682422596
2026-06-11,put,754.0,2.87,2.89,2.99,2.88,800.0,420.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9950774278900215,0.11154965106227371
2026-06-11,put,755.0,3.14,3.17,3.2,3.155,1638.0,783.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9963971592267457,0.10896433529519718
2026-06-11,put,756.0,3.53,3.55,3.5,3.54,1944.0,406.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.9977168905634699,0.10835517043125034
2026-06-11,put,757.0,3.91,3.93,3.93,3.92,1062.0,454.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,0.999036621900194,0.10682414517327558
2026-07-02,call,758.0,11.03,11.06,10.99,11.045,457.0,981.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0003563532369182,0.12265572091772715
2026-07-02,call,759.0,10.47,10.5,10.41,10.485,128.0,748.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0016760845736423,0.12202925578525876
2026-07-02,call,760.0,9.9,9.93,9.92,9.915,317.0,1172.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0029958159103665,0.12110034376822464
2026-07-02,call,761.0,9.35,9.38,8.71,9.365,89.0,204.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0043155472470906,0.12022427270501711
2026-07-02,call,762.0,8.79,8.82,7.34,8.805,657.0,388.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.005635278583815,0.1190382665806061
2026-07-02,call,763.0,8.28,8.29,7.73,8.285,64.0,329.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.006955009920539,0.11813673780774546
2026-07-02,call,764.0,7.8,7.83,7.42,7.814999999999999,21.0,249.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0082747412572632,0.11764110365970282
2026-07-02,call,765.0,7.32,7.35,7.3,7.335,32.0,727.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0095944725939874,0.11682606686659709
2026-07-02,call,766.0,6.86,6.89,6.49,6.875,90.0,1491.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0109142039307115,0.11605133722605865
2026-07-02,call,767.0,6.41,6.44,5.64,6.425000000000001,19.0,298.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0122339352674357,0.11519187662065512
2026-07-02,call,768.0,5.97,6.0,5.87,5.984999999999999,55.0,205.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0135536666041598,0.11424289028445825
2026-07-02,call,769.0,5.56,5.57,5.25,5.565,215.0,169.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.014873397940884,0.1133269371547958
2026-07-02,call,770.0,5.19,5.22,5.12,5.205,240.0,422.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0161931292776083,0.11296643566602513
2026-07-02,call,771.0,4.81,4.83,4.58,4.82,16.0,166.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0175128606143324,0.11206218531105187
2026-07-02,call,772.0,4.46,4.49,3.82,4.475,90.0,278.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0188325919510566,0.11146512622769582
2026-07-02,call,773.0,4.13,4.15,4.06,4.140000000000001,486.0,103.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0201523232877807,0.11077981417865813
2026-07-02,call,774.0,3.81,3.84,3.72,3.825,12.0,192.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0214720546245049,0.11014469430761664
2026-07-02,call,775.0,3.52,3.54,3.45,3.53,121.0,1800.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.022791785961229,0.1095666866186137
2026-07-02,call,776.0,3.27,3.29,2.92,3.28,6.0,176.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0241115172979531,0.10943406751814518
2026-07-02,call,777.0,2.97,3.0,2.71,2.9850000000000003,17.0,553.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0254312486346773,0.10838364120763762
2026-07-02,call,778.0,2.72,2.74,2.61,2.7300000000000004,51.0,350.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0267509799714016,0.1077044793324506
2026-07-02,call,779.0,2.5,2.52,2.33,2.51,5.0,171.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0280707113081258,0.1073602094430242
2026-07-02,call,780.0,2.28,2.3,2.15,2.29,187.0,930.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.02939044264485,0.10678145056471178
2026-07-02,call,781.0,2.07,2.1,1.9,2.085,4.0,145.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.030710173981574,0.10622104764627
2026-07-02,call,782.0,1.9,1.92,1.75,1.91,4.0,83.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0320299053182982,0.10597871297689967
2026-07-02,call,783.0,1.7,1.72,1.65,1.71,343.0,610.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0333496366550223,0.10499751986489443
2026-07-02,call,784.0,1.56,1.59,1.46,1.5750000000000002,17.0,350.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0346693679917465,0.10508904420762685
2026-07-02,call,785.0,1.42,1.44,1.35,1.43,433.0,490.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0359890993284706,0.1047547421795101
2026-07-02,call,786.0,1.27,1.29,1.18,1.28,4.0,136.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0373088306651947,0.10405243681656037
2026-07-02,call,787.0,1.15,1.16,1.07,1.1549999999999998,12.0,199.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.038628562001919,0.10368169680046184
2026-07-02,call,788.0,1.04,1.06,0.97,1.05,5.0,717.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0399482933386432,0.1035853552134081
2026-07-02,call,789.0,0.93,0.94,0.85,0.935,3.0,103.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0412680246753674,0.10297842035268959
2026-07-02,call,790.0,0.83,0.85,0.81,0.84,24.0,530.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0425877560120915,0.10268117445033155
2026-07-02,call,791.0,0.75,0.76,0.69,0.755,11.0,141.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0439074873488157,0.1024514877798346
2026-07-02,call,792.0,0.67,0.68,0.63,0.675,12.0,251.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.0452272186855398,0.10214619172039223
2026-07-02,call,793.0,0.6,0.61,0.5,0.605,13.0,82.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.046546950022264,0.10195221522030218
2026-07-02,call,794.0,0.54,0.56,0.5,0.55,2.0,183.0,757.72998046875,2026-06-04T18:31:23+00:00,0.07688092973110096,1.047866681358988,0.10211280338691536
